ticker,name,sector,industry,volatility,market_cap,tags
MMM,3M Company,Industrials,Conglomerates,0.36096426780900637,82963292160,"Industrials, Conglomerates"
AOS,A.O. Smith Corporation,Industrials,Specialty Industrial Machinery,0.25943246816757853,10021525504,"Industrials, Specialty Industrial Machinery"
ABT,Abbott Laboratories,Healthcare,Medical Devices,0.2109139127934577,235887509504,"Healthcare, Medical Devices"
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,0.2838771157596592,327985332224,"Healthcare, Drug Manufacturers - General"
ACN,Accenture plc,Technology,Information Technology Services,0.2719370584885878,199896350720,"Technology, Information Technology Services"
ADBE,Adobe Inc.,Technology,Software - Application,0.3724972394356846,179293814784,"Technology, Software - Application"
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,0.5324681031237113,186039435264,"Technology, Semiconductors"
AES,The AES Corporation,Utilities,Utilities - Diversified,0.4397596768818579,8343737856,"Utilities, Utilities - Diversified"
AFL,AFLAC Incorporated,Financial Services,Insurance - Life,0.22480430822653935,57535438848,"Financial Services, Insurance - Life"
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,0.3072134184853383,32350638080,"Healthcare, Diagnostics & Research"
APD,"Air Products and Chemicals, Inc",Basic Materials,Specialty Chemicals,0.2795901322085703,61724798976,"Basic Materials, Specialty Chemicals"
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,0.41363415522322716,84311302144,"Consumer Cyclical, Travel Services"
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,0.4152882318851858,11385061376,"Technology, Software - Infrastructure"
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,0.580591009278693,6973178880,"Basic Materials, Specialty Chemicals"
ARE,Alexandria Real Estate Equities,Real Estate,REIT - Office,0.28811737100650237,12813294592,"Real Estate, REIT - Office"
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,0.4061916043553603,13398089728,"Healthcare, Medical Instruments & Supplies"
ALLE,Allegion plc,Industrials,Security & Protection Services,0.25056018144127573,12434982912,"Industrials, Security & Protection Services"
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,0.195720158642311,16206307328,"Utilities, Utilities - Regulated Electric"
ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,0.2589140894473529,55617077248,"Financial Services, Insurance - Property & Casualty"
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,0.31315738229490303,2027707695104,"Communication Services, Internet Content & Information"
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,0.31129052715884264,2028759285760,"Communication Services, Internet Content & Information"
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,0.194330184373037,100174249984,"Consumer Defensive, Tobacco"
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,0.34664975029909645,2188677087232,"Consumer Cyclical, Internet Retail"
AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers,0.230427889439058,21653161984,"Consumer Cyclical, Packaging & Containers"
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,0.1914113073658436,26833309696,"Utilities, Utilities - Regulated Electric"
AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric,0.19784501387653958,55438757888,"Utilities, Utilities - Regulated Electric"
AXP,American Express Company,Financial Services,Credit Services,0.3221807909192015,209703813120,"Financial Services, Credit Services"
AIG,"American International Group, I",Financial Services,Insurance - Diversified,0.2443678960320218,48619196416,"Financial Services, Insurance - Diversified"
AMT,American Tower Corporation (REI,Real Estate,REIT - Specialty,0.2784695761214123,100738613248,"Real Estate, REIT - Specialty"
AWK,"American Water Works Company, I",Utilities,Utilities - Regulated Water,0.2423378093373004,28027125760,"Utilities, Utilities - Regulated Water"
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,0.2998054757252059,49714823168,"Financial Services, Asset Management"
AME,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,0.25336067492136716,42003816448,"Industrials, Specialty Industrial Machinery"
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,0.25637712820820885,148326203392,"Healthcare, Drug Manufacturers - General"
APH,Amphenol Corporation,Technology,Electronic Components,0.3812242788737218,104709914624,"Technology, Electronic Components"
ADI,"Analog Devices, Inc.",Technology,Semiconductors,0.4307759189176963,111366447104,"Technology, Semiconductors"
ANSS,"ANSYS, Inc.",Technology,Software - Application,0.2534744201746902,30241380352,"Technology, Software - Application"
AON,Aon plc,Financial Services,Insurance Brokers,0.21504961409996112,78805147648,"Financial Services, Insurance Brokers"
APA,APA Corporation,Energy,Oil & Gas E&P,0.5134536432372168,6248031232,"Energy, Oil & Gas E&P"
APO,"Apollo Global Management, Inc. ",Financial Services,Asset Management,0.4410839770742081,81529339904,"Financial Services, Asset Management"
AAPL,Apple Inc.,Technology,Consumer Electronics,0.3302167642576795,3118296203264,"Technology, Consumer Electronics"
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,0.48749674523806447,134816464896,"Technology, Semiconductor Equipment & Materials"
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,0.4060490094299783,14655406080,"Consumer Cyclical, Auto Parts"
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,0.2606668335890772,35661688832,"Financial Services, Insurance - Diversified"
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,0.2690048666636893,24032108544,"Consumer Defensive, Farm Products"
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,0.5307101981157514,121461276672,"Technology, Computer Hardware"
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,0.22105701561311716,88014118912,"Financial Services, Insurance Brokers"
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,0.24618845233519113,10313101312,"Financial Services, Insurance - Property & Casualty"
T,AT&T Inc.,Communication Services,Telecom Services,0.23703431825740837,201693380608,"Communication Services, Telecom Services"
ATO,Atmos Energy Corporation,Utilities,Utilities - Regulated Gas,0.17241939996205224,25393305600,"Utilities, Utilities - Regulated Gas"
ADSK,"Autodesk, Inc.",Technology,Software - Application,0.292904854646039,63306321920,"Technology, Software - Application"
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,0.19135210633567035,131096887296,"Technology, Software - Application"
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,0.21682094616901407,64854327296,"Consumer Cyclical, Auto Parts"
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,0.21838468401428157,29715048448,"Real Estate, REIT - Residential"
