ticker,sector,volatility,market_cap,tags,industry
AAPL,Unknown,0.0223238391867833,1000000000.0,Stooq data for AAPL,
MSFT,Unknown,0.0224235702908732,1000000000.0,Stooq data for MSFT,
GOOG,Unknown,0.0247061932379375,1000000000.0,Stooq data for GOOG,
META,Unknown,0.0395674413124997,1000000000.0,Stooq data for META,
NVDA,Unknown,0.0398878986475984,1000000000.0,Stooq data for NVDA,
AMD,Unknown,0.0383025112933034,1000000000.0,Stooq data for AMD,
INTC,Unknown,0.0242761308029379,1000000000.0,Stooq data for INTC,
CRM,Unknown,0.029965487421397,1000000000.0,Stooq data for CRM,
ADBE,Unknown,0.0279792078013219,1000000000.0,Stooq data for ADBE,
CSCO,Unknown,0.0178013216499943,1000000000.0,Stooq data for CSCO,
JPM,Unknown,0.0184487059580905,1000000000.0,Stooq data for JPM,
BAC,Unknown,0.0202282625510456,1000000000.0,Stooq data for BAC,
WFC,Unknown,0.0209974956212451,1000000000.0,Stooq data for WFC,
GS,Unknown,0.0180351757735995,1000000000.0,Stooq data for GS,
MS,Unknown,0.0199829343374028,1000000000.0,Stooq data for MS,
V,Unknown,0.0192910694787659,1000000000.0,Stooq data for V,
MA,Unknown,0.0202537490211744,1000000000.0,Stooq data for MA,
AXP,Unknown,0.0220414441352472,1000000000.0,Stooq data for AXP,
BLK,Unknown,0.0227975472001637,1000000000.0,Stooq data for BLK,
C,Unknown,0.0205632603407759,1000000000.0,Stooq data for C,
JNJ,Unknown,0.0111474254263686,1000000000.0,Stooq data for JNJ,
PFE,Unknown,0.016566177237852,1000000000.0,Stooq data for PFE,
MRK,Unknown,0.0124476606812556,1000000000.0,Stooq data for MRK,
UNH,Unknown,0.0153255197218353,1000000000.0,Stooq data for UNH,
ABBV,Unknown,0.0139454407266343,1000000000.0,Stooq data for ABBV,
TMO,Unknown,0.0200721073382211,1000000000.0,Stooq data for TMO,
LLY,Unknown,0.0172001949382749,1000000000.0,Stooq data for LLY,
DHR,Unknown,0.0214433639445782,1000000000.0,Stooq data for DHR,
BMY,Unknown,0.0120963582370036,1000000000.0,Stooq data for BMY,
AMGN,Unknown,0.0131893077619621,1000000000.0,Stooq data for AMGN,
AMZN,Unknown,0.0314378561134238,1000000000.0,Stooq data for AMZN,
WMT,Unknown,0.0160451247901527,1000000000.0,Stooq data for WMT,
TGT,Unknown,0.0275022059804544,1000000000.0,Stooq data for TGT,
COST,Unknown,0.0189446332253186,1000000000.0,Stooq data for COST,
HD,Unknown,0.0197732838679688,1000000000.0,Stooq data for HD,
LOW,Unknown,0.0211583523512662,1000000000.0,Stooq data for LOW,
SBUX,Unknown,0.0223108544995064,1000000000.0,Stooq data for SBUX,
MCD,Unknown,0.0123640412539953,1000000000.0,Stooq data for MCD,
NKE,Unknown,0.0258877897974985,1000000000.0,Stooq data for NKE,
DIS,Unknown,0.0230328704823135,1000000000.0,Stooq data for DIS,
XOM,Unknown,0.0220067369460874,1000000000.0,Stooq data for XOM,
CVX,Unknown,0.0205941083836957,1000000000.0,Stooq data for CVX,
COP,Unknown,0.0262608058795294,1000000000.0,Stooq data for COP,
SLB,Unknown,0.0311224631125905,1000000000.0,Stooq data for SLB,
EOG,Unknown,0.0281211583817667,1000000000.0,Stooq data for EOG,
MPC,Unknown,0.0225472243374539,1000000000.0,Stooq data for MPC,
VLO,Unknown,0.0281650373545707,1000000000.0,Stooq data for VLO,
PSX,Unknown,0.0241514539561633,1000000000.0,Stooq data for PSX,
OXY,Unknown,0.0337767835281162,1000000000.0,Stooq data for OXY,
BA,Unknown,0.0290121377402884,1000000000.0,Stooq data for BA,
CAT,Unknown,0.0206648884426256,1000000000.0,Stooq data for CAT,
GE,Unknown,0.0214144419773623,1000000000.0,Stooq data for GE,
HON,Unknown,0.0154478630966037,1000000000.0,Stooq data for HON,
MMM,Unknown,0.0167968465853873,1000000000.0,Stooq data for MMM,
UPS,Unknown,0.0196642218974196,1000000000.0,Stooq data for UPS,
FDX,Unknown,0.0252883388783276,1000000000.0,Stooq data for FDX,
DE,Unknown,0.0210733521326392,1000000000.0,Stooq data for DE,
LMT,Unknown,0.0161854238120939,1000000000.0,Stooq data for LMT,
RTX,Unknown,0.0164205697480869,1000000000.0,Stooq data for RTX,
BHP,Unknown,0.0242599219702699,1000000000.0,Stooq data for BHP,
RIO,Unknown,0.0234673488509542,1000000000.0,Stooq data for RIO,
FCX,Unknown,0.0341997104563519,1000000000.0,Stooq data for FCX,
